mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Guy Opperman,Hexham CC,30570.00,Standard non-London area budget,24129.67,6440.33,236170.00,Standard non-London area budget,210867.16,25302.84,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",22568.66,2641.34,25319.62,0.00,4142
Hannah Bardell,Livingston CC,30570.00,Standard non-London area budget,28341.62,2228.38,236170.00,Standard non-London area budget,211646.92,24523.08,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,32138.72,0.00,4486
Harriet Harman,Camberwell and Peckham BC,33840.00,Standard London area budget,27450.76,6389.24,252870.00,Standard London area budget,248920.04,3949.96,0.00,,0.00,0.00,0.00,1123.91,150
Harriett Baldwin,West Worcestershire CC,30570.00,Standard non-London area budget,21473.08,9096.92,236170.00,Standard non-London area budget,181542.75,54627.25,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4640.67,1689.33,7069.17,0.00,4107
Heather Wheeler,South Derbyshire CC,30570.00,Standard non-London area budget,29062.87,1507.13,236170.00,Standard non-London area budget,131832.75,104337.25,26840.00,Standard budget for renting a property in the London area,21315.72,5524.28,8450.21,912.15,4053
Helen Grant,Maidstone and The Weald CC,30570.00,Standard non-London area budget,27455.88,3114.12,236170.00,Standard non-London area budget,194764.55,41405.45,26840.00,Standard budget for renting a property in the London area,7850.41,18989.59,1050.08,0.00,4018
Helen Hayes,Dulwich and West Norwood BC,33840.00,Standard London area budget,29396.56,4443.44,252870.00,Standard London area budget,249507.43,3362.57,0.00,,0.00,0.00,264.82,0.00,4510
Helen Morgan,North Shropshire CC,30570.00,Standard non-London area budget,28516.36,2053.64,236170.00,Standard non-London area budget,223038.21,13131.79,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25659.74,7300.26,11841.54,0.00,4934
Helen Whately,Faversham and Mid Kent CC,30570.00,Standard non-London area budget,16488.34,14081.66,236170.00,Standard non-London area budget,198259.72,37910.28,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",24115.90,21084.10,3671.45,0.00,4527
Henry Smith,Crawley BC,30570.00,Standard non-London area budget,24364.45,6205.55,236170.00,Standard non-London area budget,231705.87,4464.13,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",435.00,32525.00,7819.26,0.00,3960
Hilary Benn,Leeds Central BC,30570.00,Standard non-London area budget,14664.05,15905.95,236170.00,Standard non-London area budget,169810.52,66359.48,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5630.39,699.61,4064.72,0.00,413
Holly Lynch,Halifax BC,30570.00,Standard non-London area budget,22161.15,8408.85,236170.00,Standard non-London area budget,214611.05,21558.95,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",23557.92,9402.08,8206.92,0.00,4472
Holly Mumby-Croft,Scunthorpe CC,30570.00,Standard non-London area budget,27712.99,2857.01,236170.00,Standard non-London area budget,205684.43,30485.57,26840.00,Standard budget for renting a property in the London area,24346.90,2493.10,12025.04,0.00,4867
Huw Merriman,Bexhill and Battle CC,30570.00,Standard non-London area budget,26248.17,4321.83,236170.00,Standard non-London area budget,220741.61,15428.39,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,10147.97,0.00,4442
Hywel Williams,Arfon CC,30570.00,Standard non-London area budget,28939.41,1630.59,236170.00,Standard non-London area budget,204922.80,31247.20,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",32009.05,7070.95,20346.07,2077.74,1397
Iain Duncan Smith,Chingford and Woodford Green BC,33840.00,Standard London area budget,24640.59,9199.41,252870.00,Standard London area budget,238255.94,14614.06,0.00,,0.00,0.00,2104.03,0.00,152
Iain Stewart,Milton Keynes South BC,30570.00,Standard non-London area budget,13367.18,17202.82,236170.00,Standard non-London area budget,167706.96,68463.04,26840.00,Standard budget for renting a property in the London area,17945.00,8895.00,5318.80,0.00,4015
Ian Blackford,"Ross, Skye and Lochaber CC",44240.43,"Standard non-London area budget plus an uplift of £13,670.43, granted following an application to IPSA",36150.51,8089.92,236170.00,Standard non-London area budget,235207.80,962.20,26840.00,Standard budget for renting a property in the London area,26398.05,441.95,42048.64,0.00,4390
Ian Byrne,"Liverpool, West Derby BC",30570.00,Standard non-London area budget,28583.67,1986.33,236170.00,Standard non-London area budget,231659.97,4510.03,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",30364.92,2595.08,18763.23,0.00,4831
Ian Lavery,Wansbeck CC,30570.00,Standard non-London area budget,23434.78,7135.22,236170.00,Standard non-London area budget,224157.46,12012.54,26840.00,Standard budget for renting a property in the London area,25133.97,1706.03,6765.81,0.00,4139
Ian Levy,Blyth Valley BC,30570.00,Standard non-London area budget,28614.32,1955.68,236170.00,Standard non-London area budget,220639.93,15530.07,26840.00,Standard budget for renting a property in the London area,26615.50,224.50,19428.63,456.08,4749
Ian Liddell-Grainger,Bridgwater and West Somerset CC,30570.00,Standard non-London area budget,13514.63,17055.37,236170.00,Standard non-London area budget,197569.23,38600.77,26840.00,Standard budget for renting a property in the London area,21600.00,5240.00,1624.50,0.00,1396
Ian Mearns,Gateshead BC,30570.00,Standard non-London area budget,22688.53,7881.47,236170.00,Standard non-London area budget,210335.66,25834.34,26840.00,Standard budget for renting a property in the London area,13200.00,13640.00,7010.70,0.00,4000
Ian Murray,Edinburgh South BC,30570.00,Standard non-London area budget,29029.56,1540.44,236170.00,Standard non-London area budget,214646.00,21524.00,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5432.30,897.70,17582.60,0.00,3966
Ian Paisley,North Antrim CC,30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,226939.07,9230.93,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,24603.85,0.00,4129
Imran Ahmad-Khan,Wakefield CC,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4841
Imran Hussain,Bradford East BC,30570.00,Standard non-London area budget,30213.95,356.05,236170.00,Standard non-London area budget,213700.52,22469.48,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",42746.20,2453.80,16714.51,0.00,4394
Jack Brereton,Stoke-on-Trent South BC,30570.00,Standard non-London area budget,26231.39,4338.61,236170.00,Standard non-London area budget,215686.12,20483.88,26840.00,Standard budget for renting a property in the London area,24556.92,2283.08,12461.44,0.00,4643
Jack Lopresti,Filton and Bradley Stoke CC,30570.00,Standard non-London area budget,25050.76,5519.24,236170.00,Standard non-London area budget,187251.37,48918.63,26840.00,Standard budget for renting a property in the London area,4557.00,22283.00,16569.03,0.00,3989
Jackie Doyle-Price,Thurrock BC,33840.00,Standard London area budget,18346.87,15493.13,252870.00,Standard London area budget,218234.02,34635.98,0.00,,0.00,0.00,1178.56,0.00,4065
Jacob Rees-Mogg,North East Somerset CC,30570.00,Standard non-London area budget,4014.93,26555.07,236170.00,Standard non-London area budget,211323.20,24846.80,0.00,,0.00,0.00,0.00,0.00,4099
Jacob Young,Redcar BC,30570.00,Standard non-London area budget,20595.15,9974.85,236170.00,Standard non-London area budget,198922.36,37247.64,26840.00,Standard budget for renting a property in the London area,25427.35,1412.65,8854.51,912.15,4825
Jake Berry,Rossendale and Darwen BC,30570.00,Standard non-London area budget,23233.22,7336.78,236170.00,Standard non-London area budget,225387.66,10782.34,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",31352.94,6097.06,14722.14,912.15,4060
James Cartlidge,South Suffolk CC,30570.00,Standard non-London area budget,12429.32,18140.68,236170.00,Standard non-London area budget,143062.09,93107.91,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",36597.03,8602.97,4004.10,0.00,4519
James Cleverly,Braintree CC,30570.00,Standard non-London area budget,15381.33,15188.67,236170.00,Standard non-London area budget,197330.09,38839.91,19090.00,Standard budget for renting a property outside the London area,19090.00,0.00,0.00,0.00,4366
James Daly,Bury North BC,30570.00,Standard non-London area budget,29024.46,1545.54,236170.00,Standard non-London area budget,234474.57,1695.43,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",37376.99,1703.01,31168.47,0.00,4854
James Davies,Vale of Clwyd CC,30570.00,Standard non-London area budget,24174.97,6395.03,236170.00,Standard non-London area budget,229626.56,6543.44,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",37765.62,1314.38,11725.37,136.61,4476
James Duddridge,Rochford and Southend East CC,30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,205894.36,30275.64,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),0.00,6330.00,3040.81,0.00,1559
James Gray,North Wiltshire CC,30570.00,Standard non-London area budget,22852.52,7717.48,236170.00,Standard non-London area budget,158132.23,78037.77,19090.00,Standard budget for renting a property outside the London area,19080.00,10.00,9847.58,0.00,261
James Grundy,Leigh CC,30570.00,Standard non-London area budget,23157.49,7412.51,236170.00,Standard non-London area budget,166502.90,69667.10,26840.00,Standard budget for renting a property in the London area,10660.00,16180.00,5362.49,0.00,4843
James Heappey,Wells CC,30570.00,Standard non-London area budget,27026.13,3543.87,236170.00,Standard non-London area budget,219998.50,16171.50,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",31240.76,89.24,13072.23,994.80,4528
James Morris,Halesowen and Rowley Regis BC,30570.00,Standard non-London area budget,16544.25,14025.75,236170.00,Standard non-London area budget,164528.36,71641.64,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",20196.47,5013.53,6486.20,0.00,3992
James Murray,Ealing North BC,33840.00,Standard London area budget,28727.61,5112.39,252870.00,Standard London area budget,246214.82,6655.18,0.00,,0.00,0.00,81.79,0.00,4797
James Sunderland,Bracknell CC,30570.00,Standard non-London area budget,18911.68,11658.32,236170.00,Standard non-London area budget,210351.65,25818.35,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",29508.65,1821.35,1457.07,0.00,4767
James Wild,North West Norfolk CC,30570.00,Standard non-London area budget,13464.90,17105.10,236170.00,Standard non-London area budget,183759.45,52410.55,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4920.39,1409.61,3870.64,0.00,4787
Jamie Stone,"Caithness, Sutherland and Easter Ross CC",30570.00,Standard non-London area budget,27191.45,3378.55,236170.00,Standard non-London area budget,235871.33,298.67,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",24584.34,8375.66,45013.58,18567.32,4612
Jamie Wallis,Bridgend CC,30570.00,Standard non-London area budget,16904.32,13665.68,236170.00,Standard non-London area budget,214035.26,22134.74,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",26369.72,12710.28,2133.65,0.00,4766
Jane Hunt,Loughborough CC,30570.00,Standard non-London area budget,21223.03,9346.97,236170.00,Standard non-London area budget,177397.60,58772.40,26840.00,Standard budget for renting a property in the London area,22586.22,4253.78,3712.49,0.00,4839
Jane Stevenson,Wolverhampton North East BC,30570.00,Standard non-London area budget,23723.53,6846.47,236170.00,Standard non-London area budget,171138.17,65031.83,26840.00,Standard budget for renting a property in the London area,23983.30,2856.70,6984.14,0.00,4750
Janet Daby,Lewisham East BC,33840.00,Standard London area budget,27744.07,6095.93,252870.00,Standard London area budget,242393.90,10476.10,0.00,,0.00,0.00,139.49,603.00,4698
Jason McCartney,Colne Valley CC,30570.00,Standard non-London area budget,11120.07,19449.93,236170.00,Standard non-London area budget,185247.22,50922.78,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",7011.00,25949.00,5216.77,0.00,3953
Jeff Smith,"Manchester, Withington BC",30570.00,Standard non-London area budget,27163.49,3406.51,236170.00,Standard non-London area budget,230889.33,5280.67,26840.00,Standard budget for renting a property in the London area,15300.00,11540.00,7170.71,912.15,4456
Jeffrey Donaldson,Lagan Valley CC,30570.00,Standard non-London area budget,25409.50,5160.50,236170.00,Standard non-London area budget,195836.87,40333.13,26840.00,Standard budget for renting a property in the London area,22541.32,4298.68,27758.10,0.00,650
Jeremy Corbyn,Islington North BC,33840.00,Standard London area budget,22965.55,10874.45,252870.00,Standard London area budget,251280.82,1589.18,0.00,,0.00,0.00,0.00,0.00,185
Jeremy Hunt,South West Surrey CC,30570.00,Standard non-London area budget,19875.13,10694.87,236170.00,Standard non-London area budget,211604.86,24565.14,0.00,,0.00,0.00,1219.26,0.00,1572
Jeremy Quin,Horsham CC,30570.00,Standard non-London area budget,21082.68,9487.32,236170.00,Standard non-London area budget,205128.25,31041.75,0.00,,0.00,0.00,735.39,0.00,4507
Jeremy Wright,Kenilworth and Southam CC,30570.00,Standard non-London area budget,19505.94,11064.06,236170.00,Standard non-London area budget,225546.08,10623.92,26840.00,Standard budget for renting a property in the London area,23482.99,3357.01,11290.21,0.00,1560
Jerome Mayhew,Broadland CC,30570.00,Standard non-London area budget,12682.13,17887.87,236170.00,Standard non-London area budget,155805.21,80364.79,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),748.94,5581.06,3498.67,0.00,4739
Jess Phillips,"Birmingham, Yardley BC",30570.00,Standard non-London area budget,27236.47,3333.53,236170.00,Standard non-London area budget,202389.14,33780.86,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",32023.30,7056.70,6171.68,0.00,4370
